"id","sessionId","timestamp","gyroX","gyroY","gyroZ","angularSpeed_rad_s","angularAccel_rad_s2","omegaAzimuth","omegaElevation","roll_deg","pitch_deg","dtS"
"SYNTH001","1742556451390","2025-03-21T11:27:31.918677","0.32106","-1.53201","-0.79323","1.7548","183.1518","-117.374","-10.542","-3.802","1.684","0.006998"
"SYNTH001","1742556451390","2025-03-21T11:27:31.948966","0.58098","1.19206","-1.0352","1.68232","18.627","130.971","-20.203","7.859","20.45","0.006458"
"SYNTH001","1742556451390","2025-03-21T11:27:31.955240","-0.27852","-0.28464","1.72373","1.76913","13.8352","-9.377","9.058","23.704","-12.265","0.006275"
"SYNTH001","1742556451390","2025-03-21T11:27:31.986410","-0.07025","1.5554","-0.68266","1.70007","152.4047","113.697","2.368","-19.665","1.404","0.007492"
"SYNTH001","1742556451390","2025-03-21T11:27:32.006152","-0.30846","-1.85861","1.38969","2.34112","109.0397","-53.214","7.571","-18.077","-1.538","0.00658"
"SYNTH001","1742556451390","2025-03-21T11:27:32.031517","0.53841","-2.30557","0.45131","2.41023","168.5427","-78.925","-12.908","-23.974","14.269","0.007651"
"SYNTH001","1739091820904","2025-02-09T09:03:40.918307","-1.71684","1.94777","1.16343","2.84515","330.9888","59.15","37.116","-21.928","-22.912","0.007344"
"SYNTH001","1739091820904","2025-02-09T09:03:40.931974","-0.99747","1.38851","0.95163","1.95666","155.5916","55.575","30.649","-19.605","11.219","0.006873"
"SYNTH001","1739091820904","2025-02-09T09:03:40.937517","1.51167","-0.65254","-0.81318","1.83636","-21.7009","-141.254","-55.405","11.673","-5.822","0.005544"
"SYNTH001","1739091820904","2025-02-09T09:03:40.942704","-0.58229","-1.99336","0.05245","2.07733","46.4599","-88.493","16.278","0.131","-1.495","0.005187"
"SYNTH001","1739091820904","2025-02-09T09:03:40.957583","-0.34673","0.19242","1.74302","1.78755","119.1043","6.3","11.184","-22.515","20.258","0.007661"
"SYNTH001","1739091820904","2025-02-09T09:03:40.969742","-1.34812","2.94782","0.4155","3.26799","400.5536","81.977","24.363","-4.349","-8.177","0.005669"
"SYNTH001","1739091820904","2025-02-09T09:03:40.974624","2.40292","0.58939","0.89927","2.63251","-130.1766","33.241","-65.893","-3.907","4.141","0.004882"
"SYNTH001","1739091820904","2025-02-09T09:03:40.978892","0.99479","0.00563","1.8667","2.11523","-121.2062","0.173","-28.054","-22.307","22.414","0.004268"
"SYNTH001","1739091820904","2025-02-09T09:03:40.999952","-1.48557","-1.29369","-0.76875","2.1146","170.1277","-120.72","44.63","-23.742","-18.965","0.003487"
"SYNTH001","1739091820904","2025-02-09T09:03:41.010319","-0.64024","-0.57042","2.06806","2.23878","250.9857","-15.42","16.617","1.813","-24.443","0.004175"
"SYNTH001","1739091820904","2025-02-09T09:03:41.066251","-1.39373","1.6926","-0.08949","2.1944","223.6542","93.027","39.43","-4.246","-3.232","0.005972"
"SYNTH001","1739091820904","2025-02-09T09:03:41.079785","-1.28137","-1.11881","-0.31074","1.72922","161.5583","-105.522","47.818","7.518","13.696","0.007373"
"SYNTH001","1739091820904","2025-02-09T09:03:41.090738","-0.75116","1.68362","0.34523","1.87563","45.7208","78.412","23.608","-7.429","-14.765","0.007513"
"SYNTH001","1739091820904","2025-02-09T09:03:41.099719","-0.84514","0.21878","-2.19081","2.35834","401.8332","174.297","21.0","-6.747","24.154","0.004626"
"SYNTH001","1739091820904","2025-02-09T09:03:41.112331","-1.14676","1.56953","0.14759","1.94943","232.1551","84.628","36.033","20.341","20.113","0.006948"
"SYNTH001","1739091820904","2025-02-09T09:03:41.122386","0.03295","-2.99925","-1.49681","3.35217","357.9016","-116.522","-0.563","20.51","20.162","0.006909"
"SYNTH001","1739091820904","2025-02-09T09:03:41.129138","1.49368","1.38993","0.28501","2.06015","-191.3486","78.412","-46.472","-17.779","20.36","0.006752"
"SYNTH001","1739091820904","2025-02-09T09:03:41.133935","-0.64422","1.04443","-1.17041","1.69579","-75.9499","138.256","22.327","-6.836","0.597","0.004797"
"SYNTH001","1739091820904","2025-02-09T09:03:41.162638","-1.28088","-0.77176","-0.80714","1.69933","124.004","-136.284","48.917","-1.067","21.164","0.005712"
"SYNTH001","1739091820904","2025-02-09T09:03:41.195689","0.11424","0.25344","-1.99624","2.0155","215.1205","172.764","-3.249","4.524","-4.839","0.004882"
"SYNTH001","1739091820904","2025-02-09T09:03:41.235830","1.1614","-1.72559","-1.03209","2.32201","225.3379","-120.884","-30.011","-4.755","-8.015","0.007292"
"SYNTH001","1739091820904","2025-02-09T09:03:41.255545","2.43288","-0.32421","0.39185","2.48547","252.8165","-39.604","-78.193","-2.881","-10.078","0.005712"
"SYNTH001","1739091820904","2025-02-09T09:03:41.259526","-0.49274","-1.82049","-0.42632","1.93358","-138.6135","-103.18","14.764","17.976","-9.024","0.003982"
"SYNTH001","1739091820904","2025-02-09T09:03:41.317697","2.46735","0.08515","-0.14137","2.47286","311.3381","148.938","-86.173","-8.585","14.87","0.00384"
"SYNTH001","1739091820904","2025-02-09T09:03:41.333729","1.18388","1.17781","1.27147","2.09892","242.2042","42.81","-34.336","8.149","-11.018","0.004236"
"SYNTH001","1739091820904","2025-02-09T09:03:41.339674","1.13605","1.49285","0.36906","1.91192","-31.4539","76.114","-36.455","13.855","22.182","0.005945"
"SYNTH001","1739091820904","2025-02-09T09:03:41.364354","1.21693","1.11787","0.79008","1.8316","58.1264","54.748","-41.637","-3.217","10.644","0.007813"
"SYNTH001","1739091820904","2025-02-09T09:03:41.377208","-0.55255","1.70126","0.01826","1.78883","149.3472","89.385","17.992","-6.692","14.473","0.005953"
"SYNTH001","1739091820904","2025-02-09T09:03:41.395182","-2.12402","-0.38929","-0.10617","2.16201","171.3392","-105.255","79.243","20.813","-18.892","0.006275"
"SYNTH001","1739091820904","2025-02-09T09:03:41.408447","0.18592","-1.50212","-1.69619","2.27332","291.7902","-138.472","-4.691","-4.906","-15.691","0.004856"
"SYNTH001","1739091820904","2025-02-09T09:03:41.420435","-1.32427","-0.7306","-0.76358","1.69427","94.0026","-136.264","51.409","19.858","-11.695","0.006409"
"SYNTH001","1739091820904","2025-02-09T09:03:41.425454","-0.23644","-0.2837","1.68808","1.72801","6.7227","-9.54","7.864","5.65","23.178","0.005019"
"SYNTH001","1739091820904","2025-02-09T09:03:41.429767","1.52766","-0.90943","1.04621","2.06285","77.6462","-40.999","-47.779","-9.169","8.837","0.004312"
"SYNTH001","1739091820904","2025-02-09T09:03:41.460342","-1.12395","-1.54217","-0.18518","1.91725","93.5186","-96.847","35.89","10.754","13.792","0.004698"
"SYNTH001","1739091820904","2025-02-09T09:03:41.468154","0.52337","1.56725","1.21044","2.04825","16.769","52.32","-14.804","-19.2","-10.073","0.007812"
"SYNTH001","1739091820904","2025-02-09T09:03:41.473233","-1.23489","-0.92115","-0.69117","1.68855","-70.8285","-126.882","46.998","-23.731","-22.719","0.005079"
"SYNTH001","1739091820904","2025-02-09T09:03:41.477376","-2.0142","0.44459","-0.34824","2.09188","97.363","128.071","74.338","-5.459","5.794","0.004143"
"SYNTH001","1739091820904","2025-02-09T09:03:41.484168","-0.00444","0.44272","1.57942","1.6403","-66.4845","15.659","0.155","12.096","-4.564","0.006792"
"SYNTH001","1739091820904","2025-02-09T09:03:41.507708","-0.20137","-1.37688","-1.21638","1.84823","120.3192","-131.458","6.255","24.989","-12.47","0.005651"
"SYNTH001","1739091820904","2025-02-09T09:03:41.527400","0.27164","1.31271","1.69119","2.15804","130.1221","37.819","-7.231","1.24","3.865","0.007667"
"SYNTH001","1739091820904","2025-02-09T09:03:41.543090","0.54955","0.06355","1.84498","1.92613","274.3462","1.973","-16.577","-0.839","12.639","0.004551"
"SYNTH002","1737222541216","2025-01-18T17:49:01.237715","1.16408","-1.49662","-0.90263","2.09993","202.2562","-121.095","-33.665","8.685","16.104","0.007192"
"SYNTH002","1737222541216","2025-01-18T17:49:01.251540","-0.69165","0.70052","1.55017","1.83634","263.2522","24.318","22.126","-15.696","15.522","0.006283"
"SYNTH002","1737222541216","2025-01-18T17:49:01.256091","0.71467","-0.70472","1.94218","2.18619","76.8758","-19.943","-19.081","-3.428","-2.709","0.004551"
"SYNTH002","1737222541216","2025-01-18T17:49:01.262902","-0.22748","0.55532","2.03031","2.11714","-10.1378","15.297","6.168","-0.765","-22.419","0.006811"
"SYNTH002","1737222541216","2025-01-18T17:49:01.290038","1.19796","1.29692","-0.36941","1.80376","97.5052","105.899","-41.617","-23.234","15.136","0.003121"
"SYNTH002","1737222541216","2025-01-18T17:49:01.305394","1.27529","-0.16132","1.40726","1.90598","87.303","-6.539","-41.997","23.273","-14.425","0.004204"
"SYNTH002","1737222541216","2025-01-18T17:49:01.422660","0.7944","0.87113","-1.61713","2.00126","195.5027","151.689","-23.388","-3.104","1.053","0.003215"
"SYNTH002","1737222541216","2025-01-18T17:49:01.426150","1.47835","-1.02734","-0.08936","1.80248","-56.9614","-94.971","-55.102","-8.542","15.962","0.00349"
"SYNTH002","1737222541216","2025-01-18T17:49:01.449147","0.50683","2.55719","-1.14851","2.84871","213.5008","114.186","-10.248","-3.175","-7.423","0.006361"
"SYNTH002","1737222541216","2025-01-18T17:49:01.455036","1.23363","-0.26124","1.8481","2.23731","-103.8155","-8.046","-33.462","24.983","13.52","0.005889"
"SYNTH002","1737222541216","2025-01-18T17:49:01.459230","0.97376","-0.21451","1.34048","1.67066","-135.1052","-9.092","-35.652","-3.41","10.043","0.004194"
"SYNTH002","1737222541216","2025-01-18T17:49:01.466591","0.11924","1.38023","1.11282","1.77697","14.4427","51.122","-3.848","-6.519","21.047","0.007361"
"SYNTH002","1737222541216","2025-01-18T17:49:01.476753","-1.03127","-1.78916","0.8634","2.23832","210.7675","-64.239","27.435","10.365","-10.689","0.004818"
"SYNTH002","1737222541216","2025-01-18T17:49:01.519530","-1.41114","1.60255","1.51028","2.61542","290.1332","46.698","32.653","-2.96","2.596","0.006702"
"SYNTH002","1737222541216","2025-01-18T17:49:01.537626","-0.95381","1.22742","0.99688","1.84664","100.1652","50.917","31.099","5.022","21.537","0.007383"
"SYNTH002","1737222541216","2025-01-18T17:49:01.559772","0.06026","-1.68646","0.99955","1.96135","55.1604","-59.345","-1.761","-15.042","-17.24","0.007292"
"SYNTH002","1737222541216","2025-01-18T17:49:01.609490","1.74311","0.48123","-1.15302","2.14464","100.6902","157.346","-54.368","15.46","-21.243","0.007816"
"SYNTH002","1737222541216","2025-01-18T17:49:01.626926","-0.51683","-0.90354","-1.96081","2.21997","168.7163","-155.26","13.463","24.733","-23.35","0.007661"
"SYNTH002","1737222541216","2025-01-18T17:49:01.639474","0.18298","-1.17169","-2.01512","2.33817","239.6931","-149.824","-4.488","-13.973","5.495","0.003248"
"SYNTH002","1737222541216","2025-01-18T17:49:01.662444","0.85174","-0.91684","1.15284","1.7015","187.6181","-38.495","-30.039","11.126","19.372","0.004477"
"SYNTH002","1737222541216","2025-01-18T17:49:01.676640","-1.22501","-0.83704","1.13091","1.86554","177.2948","-36.507","41.045","-8.088","0.334","0.005207"
"SYNTH002","1737222541216","2025-01-18T17:49:01.687100","0.17026","0.5084","1.55827","1.64793","114.3083","18.069","-5.93","9.271","-24.003","0.005794"
"SYNTH002","1737222541216","2025-01-18T17:49:01.697074","0.84552","0.02467","1.69127","1.89101","154.0119","0.836","-26.56","-15.542","-2.881","0.003774"
"SYNTH002","1737222541216","2025-01-18T17:49:01.724646","1.35292","-0.2177","-1.26657","1.86601","95.2576","-170.247","-46.472","12.129","12.74","0.006216"
"SYNTH002","1737222541216","2025-01-18T17:49:01.750180","-0.9664","-1.78166","-1.23051","2.37116","293.095","-124.631","24.052","-20.917","16.441","0.004116"
"SYNTH002","1737222541216","2025-01-18T17:49:01.765319","2.0122","0.47445","0.10482","2.07003","321.428","77.542","-76.424","-19.541","21.029","0.003705"
"SYNTH002","1737222541216","2025-01-18T17:49:01.770596","0.89681","0.00085","1.6477","1.87595","-36.7821","0.03","-28.558","2.488","16.576","0.005276"
"SYNTH002","1737222541216","2025-01-18T17:49:01.778574","-0.08895","0.65265","-2.20834","2.30448","53.7129","163.536","2.212","-12.072","15.008","0.007978"
"SYNTH002","1737222541216","2025-01-18T17:49:01.788786","0.5738","-2.0834","-0.75524","2.28915","157.5391","-109.926","-14.517","3.219","-12.206","0.005221"
"SYNTH002","1737222541216","2025-01-18T17:49:01.800237","-1.92618","-1.50326","-1.49944","2.86675","219.3058","-134.927","42.214","19.857","-0.6","0.006255"
"SYNTH002","1737222541216","2025-01-18T17:49:01.823419","0.62175","-2.41826","-0.69342","2.5914","328.4512","-106.0","-13.882","11.743","20.099","0.006617"
"SYNTH002","1737222541216","2025-01-18T17:49:01.831724","0.74609","1.30456","1.1791","1.91018","243.993","47.892","-22.991","9.339","5.709","0.004218"
"SYNTH002","1739328305780","2025-02-12T02:45:05.783749","-0.70261","-0.92951","-1.66406","2.03144","0.0","-150.813","20.235","5.263","-17.186","0.003749"
"SYNTH002","1739328305780","2025-02-12T02:45:05.826481","0.29299","-1.73384","-2.13231","2.76384","388.8762","-140.884","-6.085","22.518","-14.205","0.005704"
"SYNTH002","1739328305780","2025-02-12T02:45:05.834389","-1.10743","-0.66356","2.36372","2.69331","-8.9188","-15.681","24.279","24.544","-15.933","0.007908"
"SYNTH002","1739328305780","2025-02-12T02:45:05.839796","0.32125","1.81787","0.60309","1.94205","-138.9636","71.646","-9.522","1.406","21.951","0.005406"
"SYNTH002","1739328305780","2025-02-12T02:45:05.850711","1.63872","0.1116","0.27378","1.66518","104.7894","22.176","-79.773","-6.49","-23.231","0.006732"
"SYNTH002","1739328305780","2025-02-12T02:45:05.862255","1.51462","-0.57368","0.54351","1.70838","181.1182","-46.547","-62.447","14.001","1.414","0.004122"
"SYNTH002","1739328305780","2025-02-12T02:45:05.865444","1.8487","-0.2115","-0.50636","1.92842","69.0051","-157.33","-73.467","21.399","-11.59","0.003189"
"SYNTH002","1739328305780","2025-02-12T02:45:05.893970","-1.62098","-1.16988","1.35898","2.41724","299.0252","-40.724","42.113","6.559","-3.641","0.003803"
"SYNTH002","1739328305780","2025-02-12T02:45:05.905925","1.53713","0.48756","0.82202","1.81002","269.5042","30.673","-58.128","4.539","-13.034","0.00458"
"SYNTH002","1739328305780","2025-02-12T02:45:05.913753","-0.52598","-1.05577","1.2756","1.73737","-9.2814","-39.613","17.623","-10.3","8.782","0.007828"
"SYNTH002","1739328305780","2025-02-12T02:45:05.944079","-1.97405","1.59527","0.36646","2.56438","248.6555","77.063","50.336","11.613","-5.331","0.006707"
"SYNTH002","1739328305780","2025-02-12T02:45:05.950939","0.94934","1.20482","1.68912","2.28166","-41.209","35.5","-24.587","-2.662","-1.576","0.006861"
"SYNTH002","1739328305780","2025-02-12T02:45:05.965659","0.37378","1.64902","-0.3784","1.73268","77.5229","102.924","-12.458","20.126","-15.382","0.007701"
"SYNTH002","1739328305780","2025-02-12T02:45:05.980280","2.42726","0.46896","-0.19444","2.47979","119.3882","112.52","-78.187","-17.44","-11.133","0.007467"
"SYNTH002","1739328305780","2025-02-12T02:45:05.986978","-0.67179","0.94535","-1.41842","1.83219","-96.6802","146.317","21.51","-13.744","11.19","0.006698"
"SYNTH002","1739328305780","2025-02-12T02:45:06.012727","0.20023","1.37109","-0.93175","1.66978","254.5774","124.199","-6.887","-15.338","-0.649","0.004552"
"SYNTH002","1739328305780","2025-02-12T02:45:06.016167","-0.06993","1.23044","2.34512","2.64924","284.7809","27.685","1.513","9.345","1.322","0.003439"
"SYNTH002","1739328305780","2025-02-12T02:45:06.019600","-0.94444","1.54616","0.26124","1.83052","-238.473","80.41","31.06","16.899","-11.088","0.003433"
"SYNTH002","1739328305780","2025-02-12T02:45:06.024207","0.07087","1.29915","-1.11239","1.71179","-25.7734","130.572","-2.373","-7.839","-6.416","0.004607"
"SYNTH002","1739328305780","2025-02-12T02:45:06.030480","-1.85688","1.56199","-0.33569","2.4496","117.6194","102.129","49.291","-3.347","-5.459","0.006273"
"SYNTH002","1739328305780","2025-02-12T02:45:06.075695","0.5247","0.96825","-1.71173","2.0354","352.3745","150.505","-14.939","2.685","-21.101","0.003193"
"SYNTH002","1739328305780","2025-02-12T02:45:06.122894","-0.57475","2.28658","-1.12891","2.61404","237.3372","116.276","12.701","20.774","-12.582","0.007948"
"SYNTH002","1739328305780","2025-02-12T02:45:06.131582","0.21824","2.09574","0.44399","2.15334","315.4624","78.039","-5.817","17.751","-13.924","0.005514"
"SYNTH002","1739328305780","2025-02-12T02:45:06.148070","0.88765","0.39288","-1.81888","2.0617","130.4795","167.811","-25.502","-8.729","-17.884","0.004501"
"SYNTH002","1739328305780","2025-02-12T02:45:06.171572","-0.10376","-2.10118","0.29194","2.1239","167.4501","-82.09","2.8","-16.116","17.032","0.007903"
"SYNTH002","1739328305780","2025-02-12T02:45:06.190165","0.42032","0.46335","-1.82253","1.92691","129.442","165.736","-12.599","12.671","12.455","0.00465"
"SYNTH002","1739328305780","2025-02-12T02:45:06.239835","0.09231","1.50455","-1.29822","1.98936","149.4724","130.79","-2.66","20.093","-16.68","0.00489"
"SYNTH002","1739328305780","2025-02-12T02:45:06.246704","0.67259","-2.13651","1.48817","2.68918","101.8808","-55.141","-14.484","8.112","-20.16","0.006869"
"SYNTH002","1739328305780","2025-02-12T02:45:06.258191","-0.98732","1.44502","1.37084","2.22308","234.0605","46.509","26.367","4.898","-12.1","0.00676"
"SYNTH002","1739328305780","2025-02-12T02:45:06.265136","0.70572","-1.7933","1.8575","2.67662","65.3049","-43.993","-15.287","10.403","13.762","0.006945"
"SYNTH002","1739328305780","2025-02-12T02:45:06.272120","2.1382","0.61604","0.91412","2.40563","-38.7997","33.976","-62.727","-14.554","18.37","0.006984"
"SYNTH002","1739328305780","2025-02-12T02:45:06.276845","-1.38638","1.49887","1.03418","2.2887","-24.7464","55.395","37.283","6.819","12.869","0.004725"
"SYNTH002","1739328305780","2025-02-12T02:45:06.304320","2.03063","-0.75739","1.25352","2.50368","149.2225","-31.141","-54.199","-12.393","23.454","0.006537"
"SYNTH002","1739328305780","2025-02-12T02:45:06.323135","-0.78241","0.54893","-1.51169","1.78849","73.3886","160.043","25.943","11.871","-19.735","0.006552"
"SYNTH002","1739328305780","2025-02-12T02:45:06.327558","-1.05306","1.16188","-0.61678","1.68503","-23.3916","117.961","38.679","-8.131","16.632","0.004423"
"SYNTH002","1739328305780","2025-02-12T02:45:06.338195","0.46687","1.53642","0.78265","1.78636","53.3212","63.006","-15.15","-13.66","-20.197","0.006064"
"SYNTH002","1739328305780","2025-02-12T02:45:06.347904","0.05955","1.76816","-0.4268","1.81992","160.6931","103.571","-1.875","-4.077","6.659","0.004186"
"SYNTH002","1739328305780","2025-02-12T02:45:06.353254","-2.00755","-0.95831","0.33171","2.24915","80.2398","-70.907","63.2","9.706","6.443","0.005349"
"SYNTH002","1739328305780","2025-02-12T02:45:06.388776","-1.77924","-0.91752","-0.15156","2.00762","292.6756","-99.38","62.405","5.595","11.404","0.005475"
"SYNTH002","1739328305780","2025-02-12T02:45:06.401696","0.05411","0.63672","1.71496","1.83014","167.5154","20.369","-1.694","-9.796","-5.09","0.006792"
"SYNTH002","1739328305780","2025-02-12T02:45:06.412891","-2.14128","0.50955","-0.1659","2.20732","224.9177","108.034","75.95","7.219","22.19","0.004124"
"SYNTH002","1739328305780","2025-02-12T02:45:06.440237","-1.15613","-0.5988","-1.11679","1.71535","195.6286","-151.801","42.376","-4.172","-24.353","0.007667"
"SYNTH003","1736941896049","2025-01-15T11:51:36.061939","-1.95984","-0.77365","-0.47016","2.15884","89.8244","-121.288","65.206","5.72","15.289","0.007836"
"SYNTH003","1736941896049","2025-01-15T11:51:36.072095","1.76327","-0.53102","0.39174","1.88271","323.6195","-53.583","-69.482","-22.543","-11.808","0.003248"
"SYNTH003","1736941896049","2025-01-15T11:51:36.077258","-1.50376","-0.82457","-1.27897","2.13939","49.7156","-147.189","44.66","6.752","-5.48","0.005163"
"SYNTH003","1736941896049","2025-01-15T11:51:36.088516","0.76079","0.914","1.67533","2.05449","242.0424","28.615","-21.734","0.428","10.291","0.006102"
"SYNTH003","1736941896049","2025-01-15T11:51:36.114635","-1.20261","1.13598","-0.22469","1.66949","292.2627","101.188","46.083","-10.902","-23.537","0.004389"
"SYNTH003","1736941896049","2025-01-15T11:51:36.125202","0.54374","-0.19399","2.25879","2.3314","239.2207","-4.909","-13.487","-14.806","-7.34","0.003701"
"SYNTH003","1736941896049","2025-01-15T11:51:36.130666","-1.33084","-0.53422","0.85473","1.66946","-121.1418","-32.006","52.861","-22.091","18.577","0.005464"
"SYNTH003","1736941896049","2025-01-15T11:51:36.149169","-1.02063","0.02078","-1.28631","1.64217","37.0887","179.075","38.427","11.992","-23.705","0.006498"
"SYNTH003","1736941896049","2025-01-15T11:51:36.190242","1.4265","0.2182","0.81245","1.65608","21.9324","15.033","-59.471","23.219","-6.216","0.006354"
"SYNTH003","1736941896049","2025-01-15T11:51:36.205641","1.01362","2.72638","0.24839","2.91929","283.8476","84.794","-20.317","14.706","14.834","0.004729"
"SYNTH003","1736941896049","2025-01-15T11:51:36.217841","1.61019","1.65074","1.64117","2.83039","267.8173","45.166","-34.673","-15.732","-9.808","0.006991"
"SYNTH003","1736941896049","2025-01-15T11:51:36.220901","1.01091","-1.17302","0.79721","1.74168","-355.7866","-55.799","-35.48","4.678","12.759","0.00306"
"SYNTH003","1736941896049","2025-01-15T11:51:36.228381","0.14587","0.98051","1.58401","1.86862","16.9714","31.758","-4.477","-17.578","-0.643","0.00748"
"SYNTH003","1736941896049","2025-01-15T11:51:36.245908","0.56992","1.24481","1.17783","1.806","51.7778","46.584","-18.395","12.695","5.709","0.006122"
"SYNTH003","1736941896049","2025-01-15T11:51:36.256902","1.01249","-2.02271","-0.23806","2.27446","279.2107","-96.713","-26.433","1.267","9.806","0.004471"
"SYNTH003","1736941896049","2025-01-15T11:51:36.281249","0.89292","0.25234","-2.12129","2.31535","140.8092","173.216","-22.684","11.999","-3.482","0.006519"
"SYNTH003","1736941896049","2025-01-15T11:51:36.307194","-0.10751","2.2795","0.47697","2.33135","195.8306","78.182","2.643","14.874","-6.205","0.005724"
"SYNTH003","1736941896049","2025-01-15T11:51:36.311200","0.98388","0.80498","-1.06793","1.66027","-167.5387","142.992","-36.342","-3.305","7.511","0.004006"
