"id","sessionId","startTime","endTime","TapPressTime","TapReleaseTime","TapDuration","TapInitialGlobalLocationX","TapInitialGlobalLocationY","TapFinalGlobalLocationX","TapFinalGlobalLocationY","normalizedX","normalizedY","_targetSizeAre"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899796","1740910899847","51","64.57","384.17","65.02","384.11","0.1614","0.4802","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899264","1740910899377","113","340.12","559.34","339.67","559.28","0.8503","0.6992","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902488","1740910902582","94","211.28","315.06","211.26","317.69","0.5282","0.3938","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910897256","1740910897334","78","108.21","505.96","108.68","505.47","0.2705","0.6324","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899270","1740910899354","84","119.28","554.49","118.81","554.34","0.2982","0.6931","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910898591","1740910898623","32","199.27","503.93","199.42","503.85","0.4982","0.6299","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910904032","1740910904085","53","276.47","170.53","276.22","170.96","0.6912","0.2132","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910896605","1740910896651","46","77.99","416.15","78.58","417.36","0.195","0.5202","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910896478","1740910896569","91","343.79","724.34","344.1","722.89","0.8595","0.9054","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910901126","1740910901198","72","71.0","302.87","71.1","301.55","0.1775","0.3786","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899003","1740910899084","81","244.69","466.75","244.61","466.83","0.6117","0.5834","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899962","1740910900067","105","360.98","78.79","359.43","78.43","0.9025","0.0985","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910895960","1740910895998","38","98.94","576.66","98.74","576.02","0.2473","0.7208","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910897818","1740910897893","75","234.24","139.87","234.01","139.63","0.5856","0.1748","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910903135","1740910903180","45","330.77","429.94","331.46","428.79","0.8269","0.5374","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910896436","1740910896534","98","141.16","115.8","141.55","117.14","0.3529","0.1448","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910898014","1740910898072","58","156.3","126.46","155.08","126.83","0.3908","0.1581","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910898313","1740910898364","51","300.36","92.12","300.56","92.57","0.7509","0.1151","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910902717","1740910902782","65","250.46","90.86","250.55","91.4","0.6261","0.1136","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910904964","1740910905020","56","341.52","465.33","342.49","465.83","0.8538","0.5817","1660"
"SYNTH001","1740910895580","2025-03-02T10:21:35.580000","2025-03-02T10:21:45.580000","1740910899778","1740910899827","49","311.33","601.59","311.98","601.83","0.7783","0.752","1660"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998410050","1742998410110","60","284.21","728.74","284.47","728.76","0.7105","0.9109","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998410179","1742998410244","65","106.37","598.96","106.64","600.63","0.2659","0.7487","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998409217","1742998409319","102","87.39","422.34","88.19","421.9","0.2185","0.5279","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998405349","1742998405411","62","96.63","147.35","96.97","148.09","0.2416","0.1842","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998407031","1742998407117","86","283.19","652.91","284.28","652.99","0.708","0.8161","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998409898","1742998409952","54","124.46","562.34","125.22","561.47","0.3112","0.7029","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998409863","1742998409938","75","131.79","159.36","130.52","158.82","0.3295","0.1992","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998413933","1742998414030","97","368.97","748.61","369.29","748.87","0.9224","0.9358","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998407945","1742998408037","92","370.57","460.92","370.54","460.41","0.9264","0.5761","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998407518","1742998407587","69","20.14","526.77","20.29","525.62","0.0503","0.6585","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998412121","1742998412167","46","257.28","484.19","257.42","483.92","0.6432","0.6052","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998406014","1742998406097","83","64.89","82.74","65.26","82.69","0.1622","0.1034","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998404959","1742998405053","94","209.27","642.55","209.69","642.63","0.5232","0.8032","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998410064","1742998410189","125","99.91","43.54","100.01","44.5","0.2498","0.0544","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998406451","1742998406494","43","198.16","634.99","197.42","635.29","0.4954","0.7937","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998408902","1742998409003","101","244.71","460.25","243.87","460.05","0.6118","0.5753","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998413588","1742998413693","105","265.46","569.79","265.77","569.68","0.6636","0.7122","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998409959","1742998410026","67","35.49","368.37","34.84","368.25","0.0887","0.4605","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998411974","1742998412046","72","245.9","740.97","244.69","742.87","0.6148","0.9262","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998412861","1742998412933","72","286.34","378.31","285.9","377.38","0.7159","0.4729","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998407580","1742998407652","72","345.08","118.62","344.2","118.72","0.8627","0.1483","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998413424","1742998413526","102","185.85","342.64","186.47","341.93","0.4646","0.4283","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998408338","1742998408399","61","62.56","299.06","62.44","298.63","0.1564","0.3738","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998409703","1742998409792","89","366.23","444.82","366.28","445.27","0.9156","0.556","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998412781","1742998412874","93","80.46","649.15","79.56","649.37","0.2011","0.8114","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998404974","1742998405046","72","320.67","736.79","319.2","738.67","0.8017","0.921","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998410543","1742998410645","102","62.74","279.02","62.67","279.16","0.1569","0.3488","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998407302","1742998407370","68","118.83","107.46","119.64","107.36","0.2971","0.1343","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998413860","1742998413957","97","28.03","422.7","27.29","422.94","0.0701","0.5284","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998409286","1742998409317","31","161.42","127.7","161.37","128.37","0.4036","0.1596","1533"
"SYNTH001","1742998404684","2025-03-26T14:13:24.684000","2025-03-26T14:13:34.684000","1742998405167","1742998405240","73","170.77","375.98","170.06","375.85","0.4269","0.47","1533"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438843447","1744438843497","50","39.56","642.07","38.59","641.1","0.0989","0.8026","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438843510","1744438843596","86","89.91","614.39","89.45","615.38","0.2248","0.768","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438842702","1744438842768","66","197.14","448.14","195.6","447.96","0.4928","0.5602","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438841160","1744438841240","80","256.09","626.25","255.62","626.42","0.6402","0.7828","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438837749","1744438837846","97","179.21","64.96","179.96","64.39","0.448","0.0812","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438844263","1744438844309","46","299.25","67.14","299.61","67.52","0.7481","0.0839","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438842795","1744438842866","71","229.7","656.24","231.55","656.74","0.5743","0.8203","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438839662","1744438839752","90","56.28","424.84","57.74","425.38","0.1407","0.531","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438838777","1744438838861","84","298.42","595.08","296.74","595.23","0.746","0.7438","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438843996","1744438844088","92","232.77","494.73","233.17","495.2","0.5819","0.6184","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438837491","1744438837587","96","371.06","226.34","369.08","226.0","0.9277","0.2829","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438837514","1744438837607","93","287.11","310.2","286.58","310.64","0.7178","0.3878","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438839201","1744438839299","98","27.54","517.21","27.89","516.69","0.0689","0.6465","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438844219","1744438844321","102","289.01","88.09","290.25","87.49","0.7225","0.1101","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438846041","1744438846127","86","377.85","256.48","377.91","255.05","0.9446","0.3206","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438840230","1744438840317","87","221.65","302.58","223.46","303.13","0.5541","0.3782","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438845974","1744438846061","87","257.74","166.55","257.29","166.97","0.6443","0.2082","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438839215","1744438839273","58","135.71","194.95","135.92","194.7","0.3393","0.2437","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438837099","1744438837168","69","355.36","545.72","354.29","545.4","0.8884","0.6822","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438842917","1744438842972","55","178.33","259.92","178.03","259.64","0.4458","0.3249","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438840503","1744438840575","72","191.83","546.15","192.13","546.22","0.4796","0.6827","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438837179","1744438837264","85","300.27","739.44","301.31","740.14","0.7507","0.9243","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438843677","1744438843740","63","140.83","419.64","140.4","420.06","0.3521","0.5246","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438845374","1744438845496","122","169.6","711.0","169.09","711.89","0.424","0.8887","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438840360","1744438840458","98","238.26","587.18","239.06","587.39","0.5957","0.734","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438841259","1744438841332","73","65.4","130.09","65.99","130.2","0.1635","0.1626","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438843526","1744438843603","77","105.04","147.86","105.53","146.15","0.2626","0.1848","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438839673","1744438839756","83","379.79","481.2","380.47","481.24","0.9495","0.6015","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438838360","1744438838435","75","60.03","52.97","60.2","52.76","0.1501","0.0662","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438845280","1744438845323","43","256.67","159.15","255.63","159.31","0.6417","0.1989","1422"
"SYNTH001","1744438836714","2025-04-12T06:20:36.714000","2025-04-12T06:20:46.714000","1744438843800","1744438843830","30","145.69","384.73","144.78","385.28","0.3642","0.4809","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568061877","1739568061935","58","225.38","636.63","225.44","636.17","0.5634","0.7958","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568058915","1739568058958","43","352.54","243.82","353.12","242.61","0.8813","0.3048","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568062919","1739568063003","84","20.09","128.14","19.97","128.7","0.0502","0.1602","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568062362","1739568062424","62","134.12","581.22","133.86","581.23","0.3353","0.7265","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568060732","1739568060850","118","323.12","466.96","322.99","467.3","0.8078","0.5837","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568063499","1739568063564","65","112.25","90.23","112.66","89.09","0.2806","0.1128","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568061010","1739568061102","92","32.8","678.36","32.36","677.2","0.082","0.848","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568058879","1739568058959","80","308.42","470.84","308.69","471.23","0.7711","0.5885","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568062974","1739568063090","116","345.73","492.87","345.76","491.25","0.8643","0.6161","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568054409","1739568054485","76","246.23","155.88","246.94","154.68","0.6156","0.1948","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568060924","1739568061011","87","310.95","440.82","310.69","441.36","0.7774","0.551","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568059104","1739568059142","38","306.45","714.43","307.41","714.78","0.7661","0.893","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568059015","1739568059103","88","328.34","66.55","327.74","67.49","0.8208","0.0832","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568059120","1739568059186","66","196.19","322.74","194.94","323.29","0.4905","0.4034","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568061514","1739568061610","96","196.32","350.97","197.83","351.92","0.4908","0.4387","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568057006","1739568057109","103","89.3","593.73","90.48","593.91","0.2232","0.7422","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568059065","1739568059148","83","181.04","661.17","181.33","660.83","0.4526","0.8265","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568055776","1739568055872","96","279.92","184.35","279.29","184.22","0.6998","0.2304","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568060830","1739568060883","53","279.6","421.79","278.72","422.0","0.699","0.5272","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568056070","1739568056159","89","379.97","383.26","378.87","384.01","0.9499","0.4791","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568057085","1739568057153","68","84.74","124.58","85.87","124.62","0.2118","0.1557","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568054188","1739568054247","59","312.77","515.78","313.21","516.02","0.7819","0.6447","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568055029","1739568055079","50","281.38","668.16","282.25","667.51","0.7034","0.8352","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568055254","1739568055333","79","373.72","720.28","372.79","720.04","0.9343","0.9004","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568060464","1739568060510","46","213.51","433.34","214.59","433.14","0.5338","0.5417","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568062734","1739568062801","67","171.03","692.09","172.17","692.49","0.4276","0.8651","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568060054","1739568060100","46","152.67","447.68","153.33","448.18","0.3817","0.5596","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568056133","1739568056217","84","176.69","345.1","177.04","344.72","0.4417","0.4314","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568058731","1739568058829","98","123.59","285.94","123.81","285.37","0.309","0.3574","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568060069","1739568060152","83","211.07","311.26","210.82","312.38","0.5277","0.3891","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568056716","1739568056791","75","272.69","557.15","272.43","557.0","0.6817","0.6964","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568057241","1739568057287","46","65.68","134.86","67.84","134.71","0.1642","0.1686","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568054611","1739568054683","72","204.78","80.58","205.15","81.72","0.5119","0.1007","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568054700","1739568054745","45","300.73","478.62","302.16","478.31","0.7518","0.5983","1422"
"SYNTH002","1739568054019","2025-02-14T21:20:54.019000","2025-02-14T21:21:04.019000","1739568055805","1739568055865","60","198.04","575.03","197.7","574.97","0.4951","0.7188","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177707255","1738177707328","73","87.06","692.61","87.26","692.7","0.2176","0.8658","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177704215","1738177704265","50","219.69","656.3","219.67","656.93","0.5492","0.8204","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177708085","1738177708156","71","56.9","505.72","58.11","504.75","0.1423","0.6322","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177705887","1738177705968","81","157.83","231.14","156.43","230.5","0.3946","0.2889","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177706669","1738177706733","64","237.14","454.2","237.92","454.89","0.5929","0.5677","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177709139","1738177709195","56","311.34","174.46","312.89","175.35","0.7783","0.2181","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177706712","1738177706791","79","153.22","481.09","153.02","481.08","0.383","0.6014","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177709989","1738177710052","63","257.59","73.42","258.43","73.24","0.644","0.0918","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177710736","1738177710795","59","203.78","352.64","203.48","353.6","0.5094","0.4408","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177708339","1738177708382","43","89.95","634.7","90.38","633.97","0.2249","0.7934","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177709900","1738177709950","50","322.5","47.25","322.41","46.67","0.8063","0.0591","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177709949","1738177710031","82","325.03","477.74","327.36","477.45","0.8126","0.5972","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177711690","1738177711781","91","63.74","40.29","63.51","40.07","0.1594","0.0504","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177710206","1738177710298","92","268.06","105.33","269.21","105.88","0.6701","0.1317","1422"
"SYNTH002","1738177703191","2025-01-29T19:08:23.191000","2025-01-29T19:08:33.191000","1738177709271","1738177709338","67","153.07","359.15","152.87","359.81","0.3827","0.4489","1422"
"SYNTH002","1741019728690","2025-03-03T16:35:28.690000","2025-03-03T16:35:38.690000","1741019730275","1741019730346","71","110.57","71.93","109.33","71.49","0.2764","0.0899","1727"
"SYNTH002","1741019728690","2025-03-03T16:35:28.690000","2025-03-03T16:35:38.690000","1741019731999","1741019732037","38","202.55","455.81","203.1","455.94","0.5064","0.5698","1727"
